Car_Name,Make,Model,Make_Year,Price
"Maruti Suzuki Ciaz Alpha AT Petrol","Maruti Suzuki",Ciaz,2021,1138000
"Tata Altroz XZA+",Tata,Altroz,2022,920000
"Hyundai Creta SX OPT Turbo DCT Petrol",Hyundai,Creta,2021,1742000
"Maruti Suzuki Baleno [2015-2019] Alpha Petrol","Maruti Suzuki",Baleno,2015,568000
"Maruti Suzuki Wagon R 1.0 [2015-2019] VXI AMT","Maruti Suzuki","Wagon R 1.0",2016,419000
"Renault Kwid 1.0 RXT Opt",Renault,Kwid,2020,476000
"Hyundai Grand i10 [2017-2020] Asta 1.2 Kappa VTVT",Hyundai,"Grand i10",2019,577000
"Hyundai New Santro 1.1 Sportz MT",Hyundai,"New Santro 1.1",2020,541000
"Volkswagen Vento [2015-2019] Highline Petrol AT",Volkswagen,Vento,2016,730000
"Tata Harrier XZ Dual Tone",Tata,Harrier,2021,1875000
"Ford EcoSport [2013-2015] Titanium 1.5L Ti-VCT AT",Ford,EcoSport,2015,622000
"Hyundai Verna [2017-2020] 1.6 CRDI SX",Hyundai,Verna,2018,937000
"Hyundai Grand i10 [2017-2020] Sportz 1.2 Kappa VTVT",Hyundai,"Grand i10",2020,609000
"Renault Kwid [2015-2019] RXL",Renault,Kwid,2019,412000
"Hyundai i20 Active [2015-2020] 1.2 S",Hyundai,"i20 Active",2018,638000
"Maruti Suzuki S-Cross [2017-2020] Zeta 1.3","Maruti Suzuki",S-Cross,2018,807000
"Hyundai Elite i20 [2014-2018] Asta 1.2 (O)",Hyundai,"Elite i20",2017,590000
"Maruti Suzuki S-Cross [2015-2020] Sigma 1.3","Maruti Suzuki",S-Cross,2017,651000
"Hyundai i20 Active [2015-2020] 1.2 SX",Hyundai,"i20 Active",2018,694000
"Honda City ZX",Honda,City,2020,1364000
"Ford EcoSport [2017-2021] Titanium 1.5L Ti-VCT",Ford,EcoSport,2018,783000
"Maruti Suzuki Swift [2017-2021] VXI AMT","Maruti Suzuki",Swift,2020,628000
"Nissan Magnite XV Premium Turbo (O)",Nissan,Magnite,2021,885000
"Maruti Suzuki Baleno [2015-2019] Zeta AT Petrol","Maruti Suzuki",Baleno,2018,724000
"Hyundai Xcent [2014-2017] S (O) Petrol",Hyundai,Xcent,2014,470000
"Maruti Suzuki Ciaz Alpha Petrol","Maruti Suzuki",Ciaz,2021,1085000
"Maruti Suzuki Celerio ZXi AMT","Maruti Suzuki",Celerio,2021,620000
